episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
90,1.0,3.977166213622605,3.5121718939691355,129.23806121359607,23.375243994882247,0.5,[23.375243994882247, 0.5],0.0,False,True,0.7916700888872974,60,17.709159380834848,1010.818,prepare,0.0
90,2.0,3.9772551891196355,3.5119887562300085,129.2475328705112,-30.0,1.0097280345384627,[-30.0, 1.0097280345384627],11.493496965045617,False,True,0.7905513581379253,60,17.709159380834848,1010.871,in_progress,0.0
90,3.0,3.97419100324686,3.5179810617720664,128.93712348543588,-8.243592077830286,0.9880208006973386,[-8.243592077830286, 0.9880208006973386],13.026306830735555,False,True,0.8277026705960866,60,17.709159380834848,1010.931,in_progress,0.0
90,4.0,3.9658538756862565,3.5351677792950293,127.82079302285999,-30.0,2.4,[-30.0, 2.4],11.913679851031604,False,True,0.9326798510316037,60,17.709159380834848,1011.002,in_progress,0.0
90,5.0,3.9548807415177203,3.5643879779524617,125.55672645375519,-30.0,1.1899396818751455,[-30.0, 1.1899396818751455],11.83870939578023,False,True,1.0997214594052007,60,17.709159380834848,1011.07,in_progress,0.0
90,6.0,3.9492823503780965,3.612402354533317,120.06532147355819,-28.75786338557574,2.4,[-28.75786338557574, 2.4],12.310844199945052,False,True,1.3298441999450517,61,17.709159380834848,1011.139,in_progress,0.0
90,7.0,3.948230091632378,3.672807969065375,113.24541955079182,30.0,0.5,[30.0, 0.5],11.698980282607048,False,True,1.5979802826070477,61,17.709159380834848,1011.204,in_progress,0.0
90,8.0,3.943248527834373,3.730913911200755,108.3742495863658,15.081576742469245,1.3544003356617247,[15.081576742469245, 1.3544003356617247],13.142211240503785,False,True,1.8703311733714423,61,17.709159380834848,1011.267,in_progress,0.0
90,9.0,3.9250871048508347,3.782139259404445,108.5840994020298,29.732219807630607,1.0375790570693972,[29.732219807630607, 1.0375790570693972],12.367890006938078,False,True,2.1593741955241996,62,17.709159380834848,1011.313,in_progress,0.0
90,10.0,3.888553144676077,3.832906703963778,112.79530987241114,30.0,2.4,[30.0, 2.4],12.992931272824075,False,True,2.511931272824075,62,17.709159380834848,1011.405,in_progress,0.0
90,11.0,3.8324132253517056,3.887344677744026,119.72557642318394,30.0,1.7163691478347987,[30.0, 1.7163691478347987],13.29453632852909,False,True,2.9502624989621307,62,17.709159380834848,1011.462,in_progress,0.0
90,12.0,3.7476322556762476,3.9358259688336146,130.78103219858636,27.152404934990827,1.5857867704403028,[27.152404934990827, 1.5857867704403028],13.782730466672028,False,True,3.4645731125839685,63,17.709159380834848,1011.503,in_progress,0.0
90,13.0,3.664059227874929,3.968292771796412,140.34801700639738,14.651035996958832,0.977738651062795,[14.651035996958832, 0.977738651062795],15.601550240319673,False,True,3.905002510107114,64,17.709159380834848,1011.602,in_progress,0.0
90,14.0,3.5725451141757567,3.995551850944444,149.72936584352104,-30.0,2.081657223496059,[-30.0, 2.081657223496059],15.268180649401279,False,True,4.350849204702067,64,17.709159380834848,1011.669,in_progress,0.0
90,15.0,3.4857986295767596,4.02746582868429,154.3740338560644,-27.96067211858379,1.4030560268647214,[-27.96067211858379, 1.4030560268647214],15.580910191555834,False,True,4.799298986182887,65,17.709159380834848,1011.74,in_progress,0.0
90,16.0,3.3993903354548056,4.0809814445037755,152.31592728411022,-30.0,0.5,[-30.0, 0.5],15.441555155945148,False,True,5.3405551559451485,65,17.709159380834848,1011.807,in_progress,0.0
90,17.0,3.331596718826709,4.133907467862253,148.87568060272505,-22.825833057869573,0.8099911056229012,[-22.825833057869573, 0.8099911056229012],15.97661843676282,False,True,5.813620215638238,66,17.709159380834848,1011.862,in_progress,0.0
90,18.0,3.2866948151728397,4.181267075810514,144.94001381401768,7.809936470223299,2.4,[7.809936470223299, 2.4],18.2473425842323,False,True,6.266342584232298,66,17.709159380834848,1011.934,in_progress,0.0
90,19.0,3.2258362160465213,4.237125190871531,142.7233002682441,30.0,2.4,[30.0, 2.4],17.332381169426352,False,True,6.851381169426352,67,17.709159380834848,1011.997,in_progress,0.0
90,20.0,3.157325869734632,4.275268465773472,145.26047852286285,2.6570392944968617,0.5,[2.6570392944968617, 0.5],18.894613119466413,False,True,7.293613119466413,68,17.709159380834848,1012.061,in_progress,0.0
90,21.0,3.068130503752576,4.315191630267428,149.5783863523197,-9.016680078029658,2.4,[-9.016680078029658, 2.4],19.893531697439997,False,True,7.912531697439995,68,17.709159380834848,1012.122,in_progress,0.0
90,22.0,2.9852969051695557,4.358378230345609,150.63192509869288,30.0,2.4,[30.0, 2.4],19.08664751414953,False,True,8.605647514149528,69,17.709159380834848,1012.204,in_progress,0.0
90,23.0,2.8917059733256267,4.4036451402623635,152.1112476174528,30.0,0.5,[30.0, 0.5],19.274709464672256,False,True,9.173709464672253,70,17.709159380834848,1012.272,in_progress,0.0
90,24.0,2.797654721377488,4.4342093955497806,155.95449828806306,9.866611704044146,0.5184728886640171,[9.866611704044146, 0.5184728886640171],21.90797936734075,False,True,9.803284789607947,71,17.709159380834848,1012.335,in_progress,0.0
90,25.0,2.7120234952863576,4.447066712597772,161.19935976402687,30.0,0.5,[30.0, 0.5],20.88451341385724,False,True,10.283513413857237,72,17.709159380834848,1012.396,in_progress,0.0
90,26.0,2.6338244210721036,4.4529974900954175,165.57882841847422,30.0,1.1618580863022903,[30.0, 1.1618580863022903],21.45894057905331,False,True,10.725568961792852,72,17.709159380834848,1012.47,in_progress,0.0
90,27.0,2.5709281057051645,4.451002589286353,169.66135930928488,30.0,1.5294564578988492,[30.0, 1.5294564578988492],21.891154201667973,False,True,11.084262910088205,72,17.709159380834848,1012.537,in_progress,0.0
90,28.0,2.495694706155986,4.430966604248908,177.23722053278414,-30.0,1.5399678755352448,[-30.0, 1.5399678755352448],22.31785874171671,False,True,11.508865166609661,73,17.709159380834848,1012.608,in_progress,0.0
90,29.0,2.4108527253892382,4.409621067671856,-177.16827650316756,5.098579092920573,0.5,[5.098579092920573, 0.5],23.607967743213635,False,True,12.006967743213636,73,17.709159380834848,1012.669,in_progress,0.0
90,30.0,2.33683613624871,4.399049675296307,-175.59134363235245,-18.664668105419295,1.5581924500279247,[-18.664668105419295, 1.5581924500279247],23.73947261488803,False,True,12.426834124882447,74,17.709159380834848,1012.721,in_progress,0.0
90,31.0,2.2611635162263344,4.389381653949899,-174.8486664370271,-30.0,0.5,[-30.0, 0.5],22.954944864233802,False,True,12.853944864233801,74,17.709159380834848,1012.794,in_progress,0.0
90,32.0,2.1813238365879544,4.394752377038607,-177.6854212871546,12.814409141427639,2.143336692777854,[12.814409141427639, 2.143336692777854],24.73318561092259,False,True,13.303518272367022,75,17.709159380834848,1012.866,in_progress,0.0
90,33.0,2.1082575861186275,4.397019528000168,-178.90622497813246,13.228480896106277,2.0826648110039008,[13.228480896106277, 2.0826648110039008],25.12976367424614,False,True,13.71223071204536,75,17.709159380834848,1012.938,in_progress,0.0
90,34.0,2.012899797097818,4.378816012260859,-175.3058171948257,-16.026941919324983,1.1243876602213798,[-16.026941919324983, 1.1243876602213798],25.47915960165706,False,True,14.253282069612784,76,17.709159380834848,1012.999,in_progress,0.0
90,35.0,1.9222481447827593,4.354902951160846,-171.58442992208876,-24.41215684004674,1.7567456502613226,[-24.41215684004674, 1.7567456502613226],25.121148814045455,False,True,14.768799683993194,76,17.709159380834848,1013.063,in_progress,0.0
90,36.0,1.8218991487782694,4.344120413825933,-172.51658450459416,-0.07174468824074864,0.7830510800691719,[-0.07174468824074864, 0.7830510800691719],26.998733194704112,False,True,15.34112297869028,77,17.709159380834848,1013.135,in_progress,0.0
90,37.0,1.7409788140185019,4.3365799437660755,-173.2012473012911,-11.138894557236288,1.2192098351655474,[-11.138894557236288, 1.2192098351655474],27.044056989844638,False,True,15.79921502281153,78,17.709159380834848,1013.207,in_progress,0.0
90,38.0,1.6581858617150047,4.3282390600636,-173.57774806086127,4.57670160390564,0.9211624664438028,[4.57670160390564, 0.9211624664438028],27.96007525163739,False,True,16.27484275834863,78,17.709159380834848,1013.275,in_progress,0.0
90,39.0,1.5659195814464189,4.319285561898167,-173.83924177946082,-0.7979841422041467,0.8905525446298026,[-0.7979841422041467, 0.8905525446298026],28.47660066046738,False,True,16.797490151541417,79,17.709159380834848,1013.333,in_progress,0.0
90,40.0,1.4997066603940665,4.308222819428271,-172.95174488819873,15.826400744238207,1.3045914065619781,[15.826400744238207, 1.3045914065619781],28.46159052559154,False,True,17.199672244279142,79,17.709159380834848,1013.374,in_progress,0.0
90,41.0,1.4225436597532604,4.289681368292249,-170.9741606590689,30.0,0.9141221429783778,[30.0, 0.9141221429783778],27.82550115140393,False,True,17.641676722808253,80,17.709159380834848,1013.467,in_progress,0.0
90,42.0,1.3549574211542266,4.26394799608966,-167.68631920857288,17.45362691632232,1.2651993446422711,[17.45362691632232, 1.2651993446422711],29.494826530840513,False,True,18.240786661912058,81,17.709159380834848,1013.53,in_progress,0.0
90,43.0,1.2783658749418396,4.22542473907145,-162.9731232717753,30.0,1.7924226826105774,[30.0, 1.7924226826105774],29.334537144676514,False,True,18.975052608154396,81,17.709159380834848,1013.607,in_progress,0.0
90,44.0,1.2045484825827302,4.1713865880223615,-156.34279297744135,30.0,2.4,[30.0, 2.4],29.76141267800809,False,True,19.680412678008086,82,17.709159380834848,1013.67,in_progress,0.0
90,45.0,1.1326541675833954,4.097204005083773,-147.74529418221152,30.0,0.5,[30.0, 0.5],30.130250998169295,False,True,20.42925099816929,83,17.709159380834848,1013.738,in_progress,0.0
90,46.0,1.0843822124112041,4.021193847081085,-137.72947350892989,30.0,0.9926199932978623,[30.0, 0.9926199932978623],30.729509046154565,False,True,20.92998504749499,84,17.709159380834848,1013.807,in_progress,0.0
90,47.0,1.0456234617029876,3.9452773056716097,-130.5787320178931,30.0,0.8342457388666529,[30.0, 0.8342457388666529],31.36305104984327,False,True,21.595201902069938,84,17.709159380834848,1013.866,in_progress,0.0
90,48.0,1.019783352553224,3.876383114083824,-124.82475336237985,30.0,0.5035611115729347,[30.0, 0.5035611115729347],31.960475678412372,False,True,22.258763456097785,85,17.709159380834848,1013.933,in_progress,0.0
90,49.0,1.0062348190045816,3.8169234470194646,-119.60720844617244,9.423125139343107,2.154032218912599,[9.423125139343107, 2.154032218912599],34.129142350078666,False,True,22.597335906296145,86,17.709159380834848,1014.006,in_progress,0.0
90,50.0,0.9928437284044258,3.7532639787599766,-115.09177409190015,-27.247468408561943,2.0163882402836473,[-27.247468408561943, 2.0163882402836473],33.25769378595431,False,True,23.253416137897574,86,17.709159380834848,1014.071,in_progress,0.0
90,51.0,0.963789036819588,3.677864480296361,-113.81084853468033,-30.0,2.4,[-30.0, 2.4],34.02547563224551,False,True,23.94447563224551,87,17.709159380834848,1014.134,in_progress,0.0
