episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
60,1.0,3.19990110880964,0.6832608885026424,0.20316174412144666,11.399886295320293,0.5,[11.399886295320293, 0.5],0.0,False,True,0.7915046413600447,1,17.709159380834848,679.739,prepare,0.0
60,2.0,3.200283785688947,0.6835415738509042,0.29060352884502477,-30.0,1.6489724167983004,[-30.0, 1.6489724167983004],11.624465081389387,False,True,0.7936705980297274,1,17.709159380834848,679.802,in_progress,0.0
60,3.0,3.2065967639658743,0.6810731980347509,-0.26937454447279635,6.31470265175291,0.5,[6.31470265175291, 0.5],12.930273929209388,False,True,0.8292739292093886,1,17.709159380834848,679.864,in_progress,0.0
60,4.0,3.224259243809211,0.6779117217971998,-1.1420697275472456,-30.0,0.5403986762460454,[-30.0, 0.5403986762460454],11.538081961267462,False,True,0.9290022260182527,1,17.709159380834848,679.934,in_progress,0.0
60,5.0,3.249107276095011,0.6762523439495706,-1.3484121336786097,-30.0,2.4,[-30.0, 2.4],12.050299467382324,False,True,1.069299467382323,1,17.709159380834848,680.001,in_progress,0.0
60,6.0,3.2818000532260325,0.6657247026050113,-3.6609917946706214,30.0,1.5696840942498542,[30.0, 1.5696840942498542],12.068754459566382,False,True,1.2538176407164103,1,17.709159380834848,680.028,in_progress,0.0
60,7.0,3.320822575645888,0.6544428762198076,-5.9288262679493675,-28.88691703110399,1.8978923968096273,[-28.88691703110399, 1.8978923968096273],12.354650506620068,False,True,1.474072027258144,2,17.709159380834848,680.135,in_progress,0.0
60,8.0,3.3707010184112813,0.644608647562239,-7.150022207630603,-18.45201740443289,0.5,[-18.45201740443289, 0.5],13.356919734066237,False,True,1.7559197340662362,2,17.709159380834848,680.2,in_progress,0.0
60,9.0,3.416969885311357,0.6197383511386866,-11.708057383074186,11.322696323169602,0.5,[11.322696323169602, 0.5],13.618154946390339,False,True,2.0171549463903404,2,17.709159380834848,680.226,in_progress,0.0
60,10.0,3.4655354952310202,0.6019078008111746,-13.637313326537095,16.27479136888543,0.5,[16.27479136888543, 0.5],13.392369474476865,False,True,2.2913694744768662,3,17.709159380834848,680.332,in_progress,0.0
60,11.0,3.4977663424847414,0.603203777779219,-11.449176505772593,-9.129806263251023,1.1458598801016873,[-9.129806263251023, 1.1458598801016873],14.203544300494407,False,True,2.47337232447407,3,17.709159380834848,680.398,in_progress,0.0
60,12.0,3.5474993328291804,0.6022157244504062,-9.397839345098712,0.3981716966569273,1.4394897740788937,[0.3981716966569273, 1.4394897740788937],14.54303572973653,False,True,2.7541377749207516,3,17.709159380834848,680.47,in_progress,0.0
60,13.0,3.6031769936542037,0.5952146876782257,-8.890850042435556,-30.0,0.5,[-30.0, 0.5],13.169522470259677,False,True,3.0685224702596785,4,17.709159380834848,680.496,in_progress,0.0
60,14.0,3.659843862922097,0.5855494027326092,-8.409249817221127,-20.301207759378922,1.9340840052570074,[-20.301207759378922, 1.9340840052570074],13.776315974902642,False,True,3.3884991738512427,4,17.709159380834848,680.607,in_progress,0.0
60,15.0,3.712172956109069,0.5729978355127526,-9.44435855090299,-30.0,1.5960483573779711,[-30.0, 1.5960483573779711],14.004174020144944,False,True,3.6839643486693503,4,17.709159380834848,680.66,in_progress,0.0
60,16.0,3.776871758659181,0.5384708957458119,-14.759331981165445,30.0,1.082139814859541,[30.0, 1.082139814859541],14.266660324254184,False,True,4.049232361282275,5,17.709159380834848,680.732,in_progress,0.0
60,17.0,3.8465179103490534,0.49890248056929465,-19.205754160025112,5.436597985347099,2.229669038384979,[5.436597985347099, 2.229669038384979],16.389387179886572,False,True,4.4424533722095765,5,17.709159380834848,680.8,in_progress,0.0
60,18.0,3.958594310064157,0.46788702037910956,-17.587652477812647,30.0,0.5,[30.0, 0.5],14.776265398155813,False,True,5.075265398155813,6,17.709159380834848,680.856,in_progress,0.0
60,19.0,4.016134704388425,0.4612137576074391,-14.951132705277857,12.284593737195578,2.4,[12.284593737195578, 2.4],16.481171120471018,False,True,5.400171120471019,6,17.709159380834848,680.939,in_progress,0.0
60,20.0,4.11070592890427,0.4576232246455528,-10.352733169218725,30.0,2.3944735041276677,[30.0, 2.3944735041276677],16.014075097844646,False,True,5.93418039701911,7,17.709159380834848,681.002,in_progress,0.0
60,21.0,4.21377607441469,0.4672763883113276,-4.082227445202088,30.0,1.746876431133881,[30.0, 1.746876431133881],16.466590953312764,False,True,6.516215667085983,8,17.709159380834848,681.068,in_progress,0.0
60,22.0,4.3190317695189915,0.4928026165344372,3.2798934730187677,-28.65927905508625,2.4,[-28.65927905508625, 2.4],17.19161766666411,False,True,7.11061766666411,8,17.709159380834848,681.136,in_progress,0.0
60,23.0,4.447808591671483,0.5179003030401116,6.675602800043193,-30.0,2.4,[-30.0, 2.4],18.318848677952026,False,True,7.837848677952026,9,17.709159380834848,681.167,in_progress,0.0
60,24.0,4.576584168984801,0.5232025387603992,4.658825352964499,12.981967668240813,0.5643207421844376,[12.981967668240813, 0.5643207421844376],19.678881939078796,False,True,8.565017790641908,10,17.709159380834848,681.269,in_progress,0.0
60,25.0,4.699869483699186,0.5215396808485248,1.7265023422854984,-9.22083333668554,0.5,[-9.22083333668554, 0.5],20.86218124224032,False,True,9.26118124224032,11,17.709159380834848,681.335,in_progress,0.0
60,26.0,4.8119613646145405,0.521024204615572,0.7646028657588231,8.019140835325615,1.6202599182414572,[8.019140835325615, 1.6202599182414572],21.71917629456272,False,True,9.894124310914428,12,17.709159380834848,681.403,in_progress,0.0
60,27.0,4.913936086722273,0.5186853021795415,0.04806218684559602,-9.146443193443702,2.4,[-9.146443193443702, 2.4],22.450945680856506,False,True,10.469945680856506,12,17.709159380834848,681.468,in_progress,0.0
60,28.0,5.025703665724911,0.5169200661787405,-0.42015347166403955,1.539439166824991,2.3409693178761675,[1.539439166824991, 2.3409693178761675],23.070298720527585,False,True,11.10110485695235,13,17.709159380834848,681.534,in_progress,0.0
60,29.0,5.167326956731682,0.5104478612469125,-1.5808286122891875,-15.999352382694717,0.8796508170317805,[-15.999352382694717, 0.8796508170317805],23.077789188467754,False,True,11.900859025061399,14,17.709159380834848,681.601,in_progress,0.0
60,30.0,5.295937777963496,0.4980204387435798,-3.4759997101607056,30.0,0.5,[30.0, 0.5],22.728076796056122,False,True,12.62707679605612,15,17.709159380834848,681.673,in_progress,0.0
60,31.0,5.403017670717023,0.48469553186673453,-4.937790277777776,4.615429299059876,2.4,[4.615429299059876, 2.4],24.81254703973665,False,True,13.231547039736649,16,17.709159380834848,681.736,in_progress,0.0
