episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
140,1.0,3.19990806420844,0.6830327281234769,0.16912288747915835,22.298445356046678,2.6140773815162226,[22.298445356046678 2.6140773815162226],0.0,False,True,0.7915397958911311,1,17.709159380834848,395.086,prepare,0.0
140,2.0,3.1997327938476627,0.6831032114197833,0.18326595495146542,30.0,3.432041468615962,[30.0 3.432041468615962],113.37555049995233,False,True,0.7905513581379271,1,17.709159380834848,395.146,in_progress,0.0
140,3.0,3.212625372545318,0.6851160489484446,0.48509073122992263,30.0,3.5775765991933346,[30.0 3.5775765991933346],122.11281690376774,False,True,0.8633705091183439,1,17.709159380834848,395.213,in_progress,0.0
140,4.0,3.2358157067133755,0.6952479293951365,2.7940696214203995,12.57763620360523,3.784243599084606,[12.57763620360523 3.784243599084606],137.283340016342,False,True,0.9944090402549596,1,17.709159380834848,395.292,in_progress,0.0
140,5.0,3.302286011626691,0.7185243145595043,7.541552820453208,12.76330450321106,3.9780688160696656,[12.76330450321106 3.9780688160696656],176.77609694948308,False,True,1.3699540878878642,2,17.709159380834848,395.359,in_progress,0.0
140,6.0,3.3216684967855996,0.7252783696448392,8.558940909729179,-11.148305355902309,2.0130945429865643,[-11.148305355902309 2.0130945429865643],168.07707456022288,False,True,1.4794612913035723,2,17.709159380834848,395.424,in_progress,0.0
140,7.0,3.389360331684302,0.7371650190024753,8.99274326313302,-30.0,2.2339006052246737,[-30.0 2.2339006052246737],208.48076211978997,False,True,1.8614175606754324,2,17.709159380834848,395.492,in_progress,0.0
140,8.0,3.468571310068527,0.7323477402626549,5.049315645859418,-8.104045607221714,2.2754886472683076,[-8.104045607221714 2.2754886472683076],253.62477041042087,False,True,2.308698839377378,3,17.709159380834848,395.555,in_progress,0.0
140,9.0,3.5529688001993804,0.7169815149384801,0.00424146311161177,-10.745770190210433,2.0125224089420737,[-10.745770190210433 2.0125224089420737],298.653135723634,False,True,2.785279116342133,3,17.709159380834848,395.618,in_progress,0.0
140,10.0,3.681962209508984,0.6819800690595772,-7.0832745606043,3.2960268945229245,4.0,[3.2960268945229245 4.0],391.3600444456495,False,True,3.5136004444564954,4,17.709159380834848,395.689,in_progress,0.0
