episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
140,1.0,-1.4433436572498681,-1.7132022734468728,178.98546152381786,10.0,2.0,14,0.0,False,True,0.8443686115106054,1,16.598090036588506,1005.597,prepare,0.0
140,2.0,-1.443194488367908,-1.7132971322473556,179.00105468007848,0.0,2.0,11,100.83817181891936,False,True,0.8434665395971588,1,16.598090036588506,1005.665,in_progress,0.0
140,3.0,-1.453486495163067,-1.7119151444049312,178.66536226681728,0.0,2.0,11,100.75220217625835,False,True,0.905521824227096,1,16.598090036588506,1005.733,in_progress,0.0
140,4.0,-1.4811990005201396,-1.7099094706506874,178.34261243319625,-10.0,0.67,6,33.66102072044982,False,True,1.0725523153581107,1,16.598090036588506,1005.804,in_progress,0.0
140,5.0,-1.5175407264236451,-1.7030324588305126,176.94063649848707,0.0,2.0,11,96.92025625673249,False,True,1.291744531101525,2,16.598090036588506,1005.869,in_progress,0.0
140,6.0,-1.5649349484181723,-1.6944717316244522,175.5456326956635,-30.0,0.67,0,29.5574741371259,False,True,1.577584479405757,2,16.598090036588506,1005.934,in_progress,0.0
140,7.0,-1.6190757779975384,-1.6830058539470758,173.93738688679582,0.0,2.0,11,71.26127579000347,False,True,1.9041740174285244,2,16.598090036588506,1005.994,in_progress,0.0
140,8.0,-1.677773920883718,-1.6720964943476033,173.10345550143413,10.0,2.0,14,53.111337827140865,False,True,2.2582001209068903,3,16.598090036588506,1006.072,in_progress,0.0
140,9.0,-1.7572463975361725,-1.669538418453748,174.69170287270862,-30.0,0.67,0,16.570069937613106,False,True,2.732242208964777,3,16.598090036588506,1006.139,in_progress,0.0
140,10.0,-1.8402824256691688,-1.6662024607100983,175.7738408532046,-10.0,2.0,8,42.611227653857625,False,True,3.2322089132522414,3,16.598090036588506,1006.205,in_progress,0.0
140,11.0,-1.9092470662361223,-1.652293239145654,173.7677273536568,0.0,1.33,10,14.977779811567736,False,True,3.646567317885018,4,16.598090036588506,1006.274,in_progress,0.0
140,12.0,-1.9989874477943026,-1.630192639929842,171.06584098717306,-10.0,0.67,6,1.862442284519506,False,True,4.185434743093816,4,16.598090036588506,1006.33,in_progress,0.0
140,13.0,-2.095791234275712,-1.6028892730222388,168.58771709126117,-20.0,2.0,5,2.3496293020798427,False,True,4.938506455389202,4,16.598090036588506,1006.398,in_progress,0.0
140,14.0,-2.1427801211843307,-1.586460923235477,167.03821886235858,-20.0,2.0,5,1.833701395431084,False,True,5.237448285643252,4,16.598090036588506,1006.454,in_progress,0.0
140,15.0,-2.2354720800208647,-1.5370117790888713,161.14606239921764,-30.0,1.33,1,-0.1612598829862409,False,True,5.8531804569123915,5,16.598090036588506,1006.539,in_progress,0.0
140,16.0,-2.306363739227771,-1.4862304094556231,155.61085484393388,-20.0,1.33,4,0.224997572374653,False,True,6.839210332067555,5,16.598090036588506,1006.598,in_progress,0.0
140,17.0,-2.374444115307961,-1.4311699027502267,150.8212280601888,10.0,0.67,12,0.5494660297813652,False,True,7.362203685204909,6,16.598090036588506,1006.664,in_progress,0.0
140,18.0,-2.4487932108712305,-1.3729893710129126,147.69251943838518,-10.0,1.33,7,2.4294535645651383,False,True,7.924834865064022,6,16.598090036588506,1006.735,in_progress,0.0
140,19.0,-2.513536832336346,-1.3270757174771086,146.70363013580044,-10.0,2.0,8,16.87656284370063,False,True,8.57003144299093,6,16.598090036588506,1006.803,in_progress,0.0
140,20.0,-2.5830437563467186,-1.263376959306979,143.40883956935986,30.0,0.67,18,23.397741145411157,False,True,9.088309822907222,6,16.598090036588506,1006.867,in_progress,0.0
140,21.0,-2.644184892239445,-1.2035821122778123,140.4283136021101,-30.0,1.33,1,72.70907555418508,False,True,9.565023681549535,7,16.598090036588506,1006.948,in_progress,0.0
140,22.0,-2.7122816921010755,-1.132797491678088,137.87309096318646,-20.0,0.67,3,23.471012907780647,False,True,10.087151226709704,7,16.598090036588506,1007.011,in_progress,0.0
140,23.0,-2.7537783720980435,-1.0693650627918976,133.57111387685475,-10.0,0.67,6,10.76035393086153,False,True,10.51930565488362,7,16.598090036588506,1007.069,in_progress,0.0
140,24.0,-2.790783882080107,-1.0099744410653486,130.4092948181842,-30.0,2.0,2,14.437201877151189,False,True,10.921169681480931,7,16.598090036588506,1007.142,in_progress,0.0
140,25.0,-2.828492370013079,-0.9417477938398299,126.87676625572884,-10.0,0.67,6,2.7465810148654914,False,True,11.37566086381529,8,16.598090036588506,1007.202,in_progress,0.0
140,26.0,-2.8585893654002965,-0.8691354665423181,122.3711774983938,-20.0,2.0,5,6.9922468555479,False,True,11.84440292665826,8,16.598090036588506,1007.26,in_progress,0.0
140,27.0,-2.882342676837867,-0.8051447638208016,119.09134849438166,-10.0,2.0,8,6.356155951296121,False,True,12.207120630784281,8,16.598090036588506,1007.339,in_progress,0.0
140,28.0,-2.908519414084062,-0.7166203908133932,114.66533587806306,-20.0,1.33,4,4.180696974668998,False,True,12.760445216873432,8,16.598090036588506,1007.401,in_progress,0.0
140,29.0,-2.928588719628291,-0.6286111182965177,110.64518343970435,-10.0,2.0,8,6.628958838371471,False,True,13.303903955157518,9,16.598090036588506,1007.466,in_progress,0.0
140,30.0,-2.9456533064603785,-0.525638609041484,106.30613762365861,-10.0,1.33,7,4.896697445048471,False,True,13.924169224259225,9,16.598090036588506,1007.528,in_progress,0.0
